date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:23	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22570d28c4-26e9%22	https://fundyourfuture.jpmorgan.com/robots.txt		(from )
12:47:24	49403/49403	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202017%2015:47:25%20GMT	https://fundyourfuture.jpmorgan.com/es/es/adviser/2/	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/es/es/adviser/2/index.html	(from )
12:47:24	5891/5891	---MCZ	200	added ('OK')	text/css	etag:W/%22594902a3-1703%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery.fullpage.css?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery.fullpagea288.css	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:25	29837/29837	---MCZ	200	added ('OK')	text/css	etag:W/%22594902a3-748d%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery-ui.css?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery-uia288.css	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:25	11465/11465	---MCZ	200	added ('OK')	text/css	etag:W/%22594902a3-2cc9%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/chartist.min.css?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/chartist.mina288.css	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:27	63194/63194	---MCZ	200	added ('OK')	text/css	etag:W/%22594902a2-f6da%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/stylea288.css	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:31	104401/104401	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2005%20May%202015%2012:17:26%20GMT	https://animate.adobe.com/runtime/6.0.0/edge.6.0.0.min.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/animate.adobe.com/runtime/6.0.0/edge.6.0.0.mina288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2028%20Aug%202017%2015:47:37%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/www.googletagmanager.com/gtm.65445.delayed	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:36	4376/4376	---M--	200	added ('OK')	image/png	etag:%22594902a2-1118%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/logo.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/logo.png	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:36	17045/17045	---M--	200	added ('OK')	image/png	etag:%22594902a0-4295%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/animate-2-home.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/animate-2-home.png	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
